kraj,płeć,wiek,rok,wystąpień
AD,m,0-4,2005,0.0
AD,m,0-4,2006,0.0
AD,m,0-4,2008,0.0
AE,m,0-4,2006,0.0
AE,m,0-4,2007,0.0
AE,m,0-4,2008,0.0
AG,m,0-4,2007,0.0
AL,m,0-4,2005,0.0
AL,m,0-4,2006,1.0
AL,m,0-4,2007,0.0
AL,m,0-4,2008,1.0
AM,m,0-4,2005,1.0
AM,m,0-4,2006,0.0
AM,m,0-4,2007,0.0
AM,m,0-4,2008,0.0
AN,m,0-4,2006,0.0
AR,m,0-4,2006,19.0
AR,m,0-4,2007,14.0
AR,m,0-4,2008,11.0
AT,m,0-4,2005,1.0
AT,m,0-4,2006,0.0
AU,m,0-4,2006,1.0
AU,m,0-4,2007,0.0
AZ,m,0-4,2005,2.0
AZ,m,0-4,2006,1.0
BA,m,0-4,2005,0.0
BA,m,0-4,2006,0.0
BA,m,0-4,2007,0.0
BA,m,0-4,2008,0.0
BB,m,0-4,2007,0.0
BB,m,0-4,2008,0.0
BE,m,0-4,2005,1.0
BE,m,0-4,2006,3.0
BE,m,0-4,2007,1.0
BE,m,0-4,2008,2.0
BF,m,0-4,2007,2.0
BG,m,0-4,2005,0.0
BG,m,0-4,2007,2.0
BG,m,0-4,2008,1.0
BH,m,0-4,2008,0.0
BI,m,0-4,2007,0.0
BN,m,0-4,2007,0.0
BN,m,0-4,2008,0.0
BR,m,0-4,2006,136.0
BR,m,0-4,2007,175.0
BR,m,0-4,2008,115.0
BS,m,0-4,2007,0.0
BS,m,0-4,2008,0.0
BW,m,0-4,2008,4.0
BZ,m,0-4,2006,0.0
BZ,m,0-4,2007,1.0
BZ,m,0-4,2008,0.0
CA,m,0-4,2006,1.0
CA,m,0-4,2007,4.0
CA,m,0-4,2008,0.0
CH,m,0-4,2005,0.0
CH,m,0-4,2006,0.0
CH,m,0-4,2007,0.0
CH,m,0-4,2008,0.0
CK,m,0-4,2006,0.0
CL,m,0-4,2006,5.0
CL,m,0-4,2007,0.0
CL,m,0-4,2008,1.0
CM,m,0-4,2008,0.0
CR,m,0-4,2006,0.0
CR,m,0-4,2007,0.0
CU,m,0-4,2008,0.0
CV,m,0-4,2008,0.0
CY,m,0-4,2005,0.0
CY,m,0-4,2006,0.0
CY,m,0-4,2007,0.0
CY,m,0-4,2008,0.0
CZ,m,0-4,2005,0.0
CZ,m,0-4,2006,0.0
CZ,m,0-4,2007,0.0
CZ,m,0-4,2008,0.0
DE,m,0-4,2005,2.0
DE,m,0-4,2006,0.0
DE,m,0-4,2007,0.0
DE,m,0-4,2008,0.0
DJ,m,0-4,2007,4.0
DK,m,0-4,2005,0.0
DK,m,0-4,2006,0.0
DK,m,0-4,2007,0.0
DK,m,0-4,2008,0.0
DM,m,0-4,2006,0.0
DM,m,0-4,2007,0.0
DM,m,0-4,2008,0.0
DO,m,0-4,2008,2.0
EE,m,0-4,2005,0.0
EE,m,0-4,2006,0.0
EE,m,0-4,2007,0.0
EE,m,0-4,2008,0.0
EG,m,0-4,2006,19.0
EG,m,0-4,2008,0.0
ER,m,0-4,2007,4.0
ES,m,0-4,2005,6.0
ES,m,0-4,2006,12.0
ES,m,0-4,2007,4.0
ES,m,0-4,2008,9.0
FI,m,0-4,2005,0.0
FI,m,0-4,2006,0.0
FI,m,0-4,2007,0.0
FI,m,0-4,2008,0.0
FJ,m,0-4,2006,0.0
FM,m,0-4,2006,7.0
FM,m,0-4,2008,1.0
FR,m,0-4,2005,7.0
FR,m,0-4,2006,8.0
FR,m,0-4,2007,8.0
FR,m,0-4,2008,5.0
GA,m,0-4,2008,1.0
GB,m,0-4,2005,4.0
GB,m,0-4,2006,3.0
GB,m,0-4,2007,2.0
GB,m,0-4,2008,1.0
GD,m,0-4,2006,0.0
GE,m,0-4,2005,0.0
GE,m,0-4,2006,0.0
GE,m,0-4,2007,6.0
GE,m,0-4,2008,39.0
GM,m,0-4,2006,13.0
GM,m,0-4,2008,1.0
GR,m,0-4,2005,0.0
GR,m,0-4,2006,0.0
GR,m,0-4,2007,0.0
GR,m,0-4,2008,0.0
GT,m,0-4,2007,18.0
GT,m,0-4,2008,0.0
GU,m,0-4,2007,0.0
GU,m,0-4,2008,0.0
GY,m,0-4,2008,2.0
HK,m,0-4,2005,0.0
HK,m,0-4,2006,0.0
HK,m,0-4,2007,1.0
HK,m,0-4,2008,0.0
